,Title,Area of flat,Room,Floor,year,Price
0,"3 kambarių butas Vilniuje, Šeškinėje, Dūkštų g. +15",65.00,3,4/9,1980,86 000 € (1 323 €/m²)
1,"2 kambarių butas Vilniuje, Pašilaičiuose, Pavilnionių g. +7",60.03,2,6/8,2006,93 000 € (1 549 €/m²)
2,"2 kambarių butas Vilniuje, Senamiestyje, J. Basanavičiaus g. +6",46.54,2,4/4,1940,119 000 € (2 557 €/m²)
3,"2 kambarių butas Kaune, Kalniečiuose, Savanorių pr. +5",51.00,2,4/5,1974,67 000 € (1 314 €/m²)
4,"3 kambarių butas Klaipėdos rajono sav., Svencelėje, Svencelės g. +4",100.00,3,1/2,2021,240 000 € (2 400 €/m²)
5,"3 kambarių butas Klaipėdos rajono sav., Svencelėje, Svencelės g. +4",61.40,3,2/2,2020,147 000 € (2 394 €/m²)
6,"2 kambarių butas Vilniuje, Žvėryne, Latvių g. +3",49.34,2,1/9,1984,106 000 € (2 148 €/m²)
7,"2 kambarių butas Vilniuje, Santariškėse, Fizikų g. +3",66.00,2,6/7,2007,128 000 € (1 939 €/m²)
8,"2 kambarių butas Vilniuje, Bajoruose, Fizikų g. +3",58.00,2,4/4,2008,117 000 € (2 017 €/m²)
9,"3 kambarių butas Vilniuje, Antakalnyje, V. Grybo g. +3",70.00,3,4/4,2019,219 500 € (3 136 €/m²)
10,"2 kambarių butas Vilniuje, Senamiestyje, Kruopų g. +3",56.51,2,9999/3,1940,157 000 € (2 778 €/m²)
11,"2 kambarių butas Vilniuje, Antakalnyje, V. Grybo g. +3",33.21,2,1/4,2019,74 500 € (2 243 €/m²)
12,"2 kambarių butas Klaipėdoje, Poilsio, Rambyno g. +3",66.00,2,5/5,1987,64 000 € (970 €/m²)
13,"3 kambarių butas Vilniuje, Naujamiestyje, Algirdo g. +3",58.78,3,2/2,1940,62 000 € (1 055 €/m²)
14,"2 kambarių butas Kaune, Žaliakalnyje, Mituvos g. +3",31.00,2,2/3,1964,39 000 € (1 258 €/m²)
15,"4 kambarių butas Vilniuje, Žvėryne, Latvių g. +3",106.00,4,5/6,2001,245 000 € (2 311 €/m²)
16,"4 kambarių butas Kauno rajono sav., Užliedžiuose, Griežlės g. +2",75.00,4,1/1,2021,75 000 € (1 000 €/m²)
17,"2 kambarių butas Šiauliuose, Dainiuose, Sevastopolio g. +2",54.41,2,9/9,1975,43 700 € (803 €/m²)
18,"2 kambarių butas Palangoje, Malūno g. +2",34.00,2,2/4,2018,128 000 € (3 765 €/m²)
19,"1 kambario butas Vilniuje, Karoliniškėse, Dariaus Gerbutavičiaus g. +2",33.00,1,5/9,1974,54 990 € (1 666 €/m²)
20,"1 kambario butas Vilniuje, Žemieji Paneriai, Vaduvos g. +2",40.02,1,1/5,1990,52 500 € (1 312 €/m²)
21,"4 kambarių butas Kauno rajono sav., Užliedžiuose, Plento g. +2",65.00,4,1/1,2021,71 500 € (1 100 €/m²)
22,"3 kambarių butas Šiauliuose, Gytaruose, K. Korsako g. +2",81.65,3,1/5,1989,73 000 € (894 €/m²)
23,"2 kambarių butas Klaipėdoje, Žvejybos uostas, Minijos g. +2",48.00,2,5/5,,56 000 € (1 167 €/m²)
24,"1 kambario butas Klaipėdoje, Sportininkuose, Pušyno g. +2",30.00,1,3/4,1968,37 500 € (1 250 €/m²)
25,"3 kambarių butas Klaipėdoje, Naujakiemyje, Naujakiemio g. +2",64.00,3,3/5,1972,70 000 € (1 094 €/m²)
26,"1 kambario butas Klaipėdoje, Centre, J. Karoso g. +2",37.00,1,2/3,1957,67 770 € (1 832 €/m²)
27,"2 kambarių butas Klaipėdoje, Vėtrungėje, Kuosų g. +2",64.00,2,7/35,2008,95 000 € (1 484 €/m²)
28,"3 kambarių butas Panevėžyje, Centre +2",47.76,3,3,1965,34 000 € (712 €/m²)
29,"2 kambarių butas Panevėžio rajono sav., Liūdynėje, Ramioji g. +2",48.44,2,2/3,1983,26 500 € (547 €/m²)
30,"3 kambarių butas Vilniuje, Šeškinėje, Dūkštų g. +15",65.00,3,4/9,1980,86 000 € (1 323 €/m²)
31,"2 kambarių butas Vilniuje, Pašilaičiuose, Pavilnionių g. +7",60.03,2,6/8,2006,93 000 € (1 549 €/m²)
32,"2 kambarių butas Vilniuje, Senamiestyje, J. Basanavičiaus g. +6",46.54,2,4/4,1940,119 000 € (2 557 €/m²)
33,"2 kambarių butas Kaune, Kalniečiuose, Savanorių pr. +5",51.00,2,4/5,1974,67 000 € (1 314 €/m²)
34,"3 kambarių butas Klaipėdos rajono sav., Svencelėje, Svencelės g. +4",100.00,3,1/2,2021,240 000 € (2 400 €/m²)
35,"3 kambarių butas Klaipėdos rajono sav., Svencelėje, Svencelės g. +4",61.40,3,2/2,2020,147 000 € (2 394 €/m²)
36,"2 kambarių butas Vilniuje, Žvėryne, Latvių g. +3",49.34,2,1/9,1984,106 000 € (2 148 €/m²)
37,"2 kambarių butas Vilniuje, Santariškėse, Fizikų g. +3",66.00,2,6/7,2007,128 000 € (1 939 €/m²)
38,"2 kambarių butas Vilniuje, Bajoruose, Fizikų g. +3",58.00,2,4/4,2008,117 000 € (2 017 €/m²)
39,"3 kambarių butas Vilniuje, Antakalnyje, V. Grybo g. +3",70.00,3,4/4,2019,219 500 € (3 136 €/m²)
40,"2 kambarių butas Vilniuje, Senamiestyje, Kruopų g. +3",56.51,2,9999/3,1940,157 000 € (2 778 €/m²)
41,"2 kambarių butas Vilniuje, Antakalnyje, V. Grybo g. +3",33.21,2,1/4,2019,74 500 € (2 243 €/m²)
42,"2 kambarių butas Klaipėdoje, Poilsio, Rambyno g. +3",66.00,2,5/5,1987,64 000 € (970 €/m²)
43,"3 kambarių butas Vilniuje, Naujamiestyje, Algirdo g. +3",58.78,3,2/2,1940,62 000 € (1 055 €/m²)
44,"2 kambarių butas Kaune, Žaliakalnyje, Mituvos g. +3",31.00,2,2/3,1964,39 000 € (1 258 €/m²)
45,"4 kambarių butas Vilniuje, Žvėryne, Latvių g. +3",106.00,4,5/6,2001,245 000 € (2 311 €/m²)
46,"4 kambarių butas Kauno rajono sav., Užliedžiuose, Griežlės g. +2",75.00,4,1/1,2021,75 000 € (1 000 €/m²)
47,"2 kambarių butas Šiauliuose, Dainiuose, Sevastopolio g. +2",54.41,2,9/9,1975,43 700 € (803 €/m²)
48,"2 kambarių butas Palangoje, Malūno g. +2",34.00,2,2/4,2018,128 000 € (3 765 €/m²)
49,"1 kambario butas Vilniuje, Karoliniškėse, Dariaus Gerbutavičiaus g. +2",33.00,1,5/9,1974,54 990 € (1 666 €/m²)
50,"1 kambario butas Vilniuje, Žemieji Paneriai, Vaduvos g. +2",40.02,1,1/5,1990,52 500 € (1 312 €/m²)
51,"4 kambarių butas Kauno rajono sav., Užliedžiuose, Plento g. +2",65.00,4,1/1,2021,71 500 € (1 100 €/m²)
